supplysector,subsector0,subsector,year,input.OM.var,OM.var,intermittent.technology
peak generation,solar,CSP_peak,2100,OM-var,0.57,CSP_peak (recirculating)
peak generation,solar,PV_peak,1975,OM-var,0,PV_peak
peak generation,solar,PV_peak,1990,OM-var,0,PV_peak
peak generation,solar,PV_peak,2005,OM-var,0,PV_peak
peak generation,solar,PV_peak,2010,OM-var,0,PV_peak
peak generation,solar,PV_peak,2015,OM-var,0,PV_peak
peak generation,solar,PV_peak,2021,OM-var,0,PV_peak
peak generation,solar,PV_peak,2025,OM-var,0,PV_peak
peak generation,solar,PV_peak,2030,OM-var,0,PV_peak
peak generation,solar,PV_peak,2035,OM-var,0,PV_peak
peak generation,solar,PV_peak,2040,OM-var,0,PV_peak
peak generation,solar,PV_peak,2045,OM-var,0,PV_peak
peak generation,solar,PV_peak,2050,OM-var,0,PV_peak
peak generation,solar,PV_peak,2055,OM-var,0,PV_peak
peak generation,solar,PV_peak,2060,OM-var,0,PV_peak
peak generation,solar,PV_peak,2065,OM-var,0,PV_peak
peak generation,solar,PV_peak,2070,OM-var,0,PV_peak
peak generation,solar,PV_peak,2075,OM-var,0,PV_peak
peak generation,solar,PV_peak,2080,OM-var,0,PV_peak
peak generation,solar,PV_peak,2085,OM-var,0,PV_peak
peak generation,solar,PV_peak,2090,OM-var,0,PV_peak
peak generation,solar,PV_peak,2095,OM-var,0,PV_peak
peak generation,solar,PV_peak,2100,OM-var,0,PV_peak
subpeak generation,solar,CSP_subpeak,1975,OM-var,0.98,CSP_subpeak (dry_hybrid)
subpeak generation,solar,CSP_subpeak,1990,OM-var,0.98,CSP_subpeak (dry_hybrid)
subpeak generation,solar,CSP_subpeak,2005,OM-var,0.98,CSP_subpeak (dry_hybrid)
subpeak generation,solar,CSP_subpeak,2010,OM-var,0.98,CSP_subpeak (dry_hybrid)
subpeak generation,solar,CSP_subpeak,2015,OM-var,0.98,CSP_subpeak (dry_hybrid)
subpeak generation,solar,CSP_subpeak,2021,OM-var,0.79,CSP_subpeak (dry_hybrid)
subpeak generation,solar,CSP_subpeak,2025,OM-var,0.72,CSP_subpeak (dry_hybrid)
subpeak generation,solar,CSP_subpeak,2030,OM-var,0.6,CSP_subpeak (dry_hybrid)
subpeak generation,solar,CSP_subpeak,2035,OM-var,0.6,CSP_subpeak (dry_hybrid)
subpeak generation,solar,CSP_subpeak,2040,OM-var,0.6,CSP_subpeak (dry_hybrid)
subpeak generation,solar,CSP_subpeak,2045,OM-var,0.6,CSP_subpeak (dry_hybrid)
subpeak generation,solar,CSP_subpeak,2050,OM-var,0.6,CSP_subpeak (dry_hybrid)
subpeak generation,solar,CSP_subpeak,2055,OM-var,0.6,CSP_subpeak (dry_hybrid)
subpeak generation,solar,CSP_subpeak,2060,OM-var,0.59,CSP_subpeak (dry_hybrid)
subpeak generation,solar,CSP_subpeak,2065,OM-var,0.59,CSP_subpeak (dry_hybrid)
subpeak generation,solar,CSP_subpeak,2070,OM-var,0.59,CSP_subpeak (dry_hybrid)
subpeak generation,solar,CSP_subpeak,2075,OM-var,0.59,CSP_subpeak (dry_hybrid)
subpeak generation,solar,CSP_subpeak,2080,OM-var,0.58,CSP_subpeak (dry_hybrid)
subpeak generation,solar,CSP_subpeak,2085,OM-var,0.58,CSP_subpeak (dry_hybrid)
subpeak generation,solar,CSP_subpeak,2090,OM-var,0.58,CSP_subpeak (dry_hybrid)
subpeak generation,solar,CSP_subpeak,2095,OM-var,0.57,CSP_subpeak (dry_hybrid)
subpeak generation,solar,CSP_subpeak,2100,OM-var,0.57,CSP_subpeak (dry_hybrid)
subpeak generation,solar,CSP_subpeak,1975,OM-var,0.98,CSP_subpeak (recirculating)
subpeak generation,solar,CSP_subpeak,1990,OM-var,0.98,CSP_subpeak (recirculating)
subpeak generation,solar,CSP_subpeak,2005,OM-var,0.98,CSP_subpeak (recirculating)
subpeak generation,solar,CSP_subpeak,2010,OM-var,0.98,CSP_subpeak (recirculating)
subpeak generation,solar,CSP_subpeak,2015,OM-var,0.98,CSP_subpeak (recirculating)
subpeak generation,solar,CSP_subpeak,2021,OM-var,0.79,CSP_subpeak (recirculating)
subpeak generation,solar,CSP_subpeak,2025,OM-var,0.72,CSP_subpeak (recirculating)
subpeak generation,solar,CSP_subpeak,2030,OM-var,0.6,CSP_subpeak (recirculating)
subpeak generation,solar,CSP_subpeak,2035,OM-var,0.6,CSP_subpeak (recirculating)
subpeak generation,solar,CSP_subpeak,2040,OM-var,0.6,CSP_subpeak (recirculating)
subpeak generation,solar,CSP_subpeak,2045,OM-var,0.6,CSP_subpeak (recirculating)
subpeak generation,solar,CSP_subpeak,2050,OM-var,0.6,CSP_subpeak (recirculating)
subpeak generation,solar,CSP_subpeak,2055,OM-var,0.6,CSP_subpeak (recirculating)
subpeak generation,solar,CSP_subpeak,2060,OM-var,0.59,CSP_subpeak (recirculating)
subpeak generation,solar,CSP_subpeak,2065,OM-var,0.59,CSP_subpeak (recirculating)
subpeak generation,solar,CSP_subpeak,2070,OM-var,0.59,CSP_subpeak (recirculating)
subpeak generation,solar,CSP_subpeak,2075,OM-var,0.59,CSP_subpeak (recirculating)
subpeak generation,solar,CSP_subpeak,2080,OM-var,0.58,CSP_subpeak (recirculating)
subpeak generation,solar,CSP_subpeak,2085,OM-var,0.58,CSP_subpeak (recirculating)
subpeak generation,solar,CSP_subpeak,2090,OM-var,0.58,CSP_subpeak (recirculating)
subpeak generation,solar,CSP_subpeak,2095,OM-var,0.57,CSP_subpeak (recirculating)
subpeak generation,solar,CSP_subpeak,2100,OM-var,0.57,CSP_subpeak (recirculating)
subpeak generation,solar,PV_subpeak,1975,OM-var,0,PV_subpeak
subpeak generation,solar,PV_subpeak,1990,OM-var,0,PV_subpeak
subpeak generation,solar,PV_subpeak,2005,OM-var,0,PV_subpeak
subpeak generation,solar,PV_subpeak,2010,OM-var,0,PV_subpeak
subpeak generation,solar,PV_subpeak,2015,OM-var,0,PV_subpeak
